"Text","TC name","text ID","typ_ID","right visible:"," ","Level 0","Level 1","Level 2","Level 3","Level 4","Level 5","Level 6","Level 7","Level 8","Level 9","Level 10","Level 11","Level 12","Level 13","Level 14","Level 15","right active:","Level 0","Level 1","Level 2","Level 3","Level 4","Level 5","Level 6","Level 7","Level 8","Level 9","Level 10","Level 11","Level 12","Level 13","Level 14","Level 15","state internal:","validation","protocol","PDA","signature required","operate at <> 0 degree","Force to format value","No safety check","phys. min","phys. max","read/write","Format"
"Speed Vacuum conveyer belt","InFeedConveyor_1_CON_SEC_Speed",17668,"Config",8,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",19,"true","true","false","false","true","false","false",1,100,"w","f"
"SUCTION TRANSFER CONVEYER","InFeedConveyor_1_SET_H",17943,"Notiz",73,2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"w","f"
"SUCTION TRANSFER CONVEYER TFM","InFeedConveyor_1_SET_H_TFM",21552,"Notiz",74,2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"w","f"
"Blister tucker","InFeedConveyor_1_SET_BlisterPusher",12202,"Notiz",75,2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"rw","f"
"Blister stopper","InFeedConveyor_1_SET_BlisterStopper",15323,"Notiz",76,2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"rw","f"
"Sensor - tucker","InFeedConveyor_1_SET_SensorPusher",12976,"Notiz",77,2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"rw","f"
"Vakuum regulation","InFeedConveyor_1_SET_VacuumControl",13980,"Notiz",78,2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"rw","f"
"Belt speed","InFeedConveyor_1_SET_BeltSpeed",13614,"Notiz",79,2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"rw","f"
"Height vacuum belt","InFeedConveyor_1_SET_VacuumBeltHeight",14539,"Notiz",80,2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"rw","f"
"Width vacuum belt","InFeedConveyor_1_SET_VacuuBeltWidth",17824,"Notiz",81,2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"rw","f"
"Guide bars","InFeedConveyor_1_SET_GuideBars",14280,"Notiz",82,2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"rw","f"

Product feeder blister
"Switch Product","ProductMonitoringBlister_SWI_On",11062,"Schalter",428,2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",19,"true","true","false","false","true","false","false",-99999,999999,"rw","f"
"Switch discharge blister magazine","BlisterCounting_1_SWI_RunEmptyMode",11071,"Schalter",425,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",18,"false","true","false","false","true","false","false",-99999,999999,"rw",
"Switch Fill up blister magazine","BlisterCounting_1_SWI_FillUpMode",14511,"Schalter",426,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",18,"false","true","false","false","true","false","false",-99999,999999,"rw",
"Reference run servo drives","BlisterCounting_1_SWI_StartRefRun",15729,"Schalter",427,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",18,"false","true","false","false","true","false","false",-99999,999999,"rw",
"Cam stepper motor control start","BlisterCounting_1_CAM_StartCount",11227,"Winkel",448,2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",19,"true","true","false","false","true","false","false",0,99,"rw","f"
"Cam product detection","ProductMonitoringBlister_CAM_Detection",10156,"Winkel",450,2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",19,"true","true","false","false","true","false","false",0,99,"rw","f"
"Cam reference signal pendulum magazine","BlisterCounting_1_CAM_RefSignalBlisterMag",10993,"Winkel",449,2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",19,"true","true","false","false","true","false","false",0,99,"rw","f"
"Counting speed","BlisterCounting_1_CON_P_CountSpeed",10332,"Config",12,2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",19,"true","true","false","false","true","false","false",0,30,"w","f"
"Acceleration","BlisterCounting_1_CON_P_CountAcceleration",14991,"Config",13,2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",19,"true","true","false","false","true","false","false",0,500,"w","f"
"Blister amount","BlisterCounting_1_CON_P_NumberOfProducts",10330,"Config",11,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",19,"true","true","false","false","true","false","false",1,19,"w","f"
"Section counting magazine 1","BlisterCounting_1_CON_SEC",10350,"Config",14,2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",19,"true","true","false","false","true","false","false",0,256,"rw","f"
"Section counting redundant magazine","RedundantMagazine_CON_SEC",10352,"Config",16,2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",19,"true","true","false","false","true","false","false",0,256,"rw","f"
"Section product detection","ProductMonitoring_Blister_CON_SEC_ProdScan",10353,"Config",18,2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",19,"true","true","false","false","true","false","false",0,256,"rw","f"
"Serial error product","ProductMonitoring_Blister_CON_SerialError",10333,"Config",19,2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",19,"true","true","false","false","true","false","false",0,99,"w","f"
"PRODUCT FEEDER","BlisterCounting_1_SET_H",12155,"Notiz",83,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"w","f"
"Cassette","BlisterCounting_1_SET_TranspCassette",11194,"Notiz",84,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"rw","f"
"Blister magazine","BlisterCounting_1_SET_BlisterMagazine",11049,"Notiz",85,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"rw","f"
"Blister magazine 1","BlisterCounting_1_SET_BlisterMagazine1",20943,"Notiz",86,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"rw","f"
"Redundant magazine","RedundantMagazine_SET_RedundantMagazine",12095,"Notiz",148,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"rw","f"
"Upper magazine part","BlisterCounting_1_SET_UpperMagazinePart",15015,"Notiz",87,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"rw","f"
"Middle magazine part","BlisterCounting_1_SET_MiddleMagazinePart",14982,"Notiz",88,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"rw","f"
"Lower magazine part","BlisterCounting_1_SET_LowerMagazinePart",13032,"Notiz",89,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"rw","f"
"Level control blister magazine","BlisterCounting_1_SET_LevContBlisMag",12670,"Notiz",90,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"rw","f"
"Level control blister magazine 1 height","BlisterCounting_1_SET_LevContHeight",18570,"Notiz",91,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"rw","f"
"Level control blister magazine 1 length","BlisterCounting_1_SET_LevContLength",18574,"Notiz",92,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"rw","f"
"Level control redundant magazine height","RedundantMagazine_SET_LevelControl_Height",18573,"Notiz",150,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"rw","f"
"Level control redundant magazine length","RedundantMagazine_SET_LevelControl_Length",18577,"Notiz",151,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"rw","f"
"Jam monitoring blister magazine 1 length","BlisterCounting_1_SET_JamContLength",20971,"Notiz",93,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"rw","f"
"Jam monitoring blister magazine 1 height","BlisterCounting_1_SET_JamContHeight",22119,"Notiz",94,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"rw","f"
"Position counting 1.1","BlisterCounting_1_SET_PosCount1.1",15319,"Notiz",95,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"rw","f"
"Position counting 1.2","BlisterCounting_1_SET_PosCount1.2",15781,"Notiz",96,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"rw","f"
"Position counting 1.3","BlisterCounting_1_SET_PosCount1.3",15782,"Notiz",97,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"rw","f"
"Position counting 1.4","BlisterCounting_1_SET_PosCount1.4",15783,"Notiz",98,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"rw","f"
"Position counting 1.5","BlisterCounting_1_SET_PosCount1.5",15784,"Notiz",99,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"rw","f"
"Position counting 1.6","BlisterCounting_1_SET_PosCount1.6",15785,"Notiz",100,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"rw","f"
"Position counting 1.7","BlisterCounting_1_SET_PosCount1.7",20874,"Notiz",101,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"rw","f"
"Position counting 1.8","BlisterCounting_1_SET_PosCount1.8",20875,"Notiz",102,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"rw","f"
"Position counting 2.1","BlisterCounting_1_SET_PosCount2.1",15320,"Notiz",103,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"rw","f"
"Position counting 2.2","BlisterCounting_1_SET_PosCount2.2",15786,"Notiz",104,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"rw","f"
